호선,통행일자,역명,구분,합계
1,2022-01-01,계양,승차,1279
1,2022-01-02,계양,승차,1322
1,2022-01-03,계양,승차,2623
1,2022-01-04,계양,승차,2695
1,2022-01-05,계양,승차,2671
1,2022-01-06,계양,승차,2706
1,2022-01-07,계양,승차,2809
1,2022-01-08,계양,승차,2041
1,2022-01-09,계양,승차,1380
1,2022-01-10,계양,승차,2755
1,2022-01-11,계양,승차,2713
1,2022-01-12,계양,승차,2670
1,2022-01-13,계양,승차,2634
1,2022-01-14,계양,승차,2738
1,2022-01-15,계양,승차,2030
1,2022-01-16,계양,승차,1422
1,2022-01-17,계양,승차,2648
1,2022-01-18,계양,승차,2728
1,2022-01-19,계양,승차,2762
1,2022-01-20,계양,승차,2756
1,2022-01-21,계양,승차,2842
1,2022-01-22,계양,승차,2115
1,2022-01-23,계양,승차,1486
1,2022-01-24,계양,승차,2822
1,2022-01-25,계양,승차,2774
1,2022-01-26,계양,승차,2817
1,2022-01-27,계양,승차,2748
1,2022-01-28,계양,승차,2597
1,2022-01-29,계양,승차,1727
1,2022-01-30,계양,승차,1240
1,2022-01-31,계양,승차,1031
1,2022-02-01,계양,승차,975
1,2022-02-02,계양,승차,1206
1,2022-02-03,계양,승차,2485
1,2022-02-04,계양,승차,2584
1,2022-02-05,계양,승차,1691
1,2022-02-06,계양,승차,1238
1,2022-02-07,계양,승차,2716
1,2022-02-08,계양,승차,2740
1,2022-02-09,계양,승차,2747
1,2022-02-10,계양,승차,2714
1,2022-02-11,계양,승차,2884
1,2022-02-12,계양,승차,2068
1,2022-02-13,계양,승차,1519
1,2022-02-14,계양,승차,2621
1,2022-02-15,계양,승차,2585
1,2022-02-16,계양,승차,2538
1,2022-02-17,계양,승차,2539
1,2022-02-18,계양,승차,2730
1,2022-02-19,계양,승차,1897
1,2022-02-20,계양,승차,1227
1,2022-02-21,계양,승차,2550
1,2022-02-22,계양,승차,2578
1,2022-02-23,계양,승차,2522
1,2022-02-24,계양,승차,2572
1,2022-02-25,계양,승차,2671
1,2022-02-26,계양,승차,1801
1,2022-02-27,계양,승차,1409
1,2022-02-28,계양,승차,2550
1,2022-03-01,계양,승차,1493
1,2022-03-02,계양,승차,2693
1,2022-03-03,계양,승차,2819
1,2022-03-04,계양,승차,2735
1,2022-03-05,계양,승차,1802
1,2022-03-06,계양,승차,1435
1,2022-03-07,계양,승차,2678
1,2022-03-08,계양,승차,2765
1,2022-03-09,계양,승차,1702
1,2022-03-10,계양,승차,2732
1,2022-03-11,계양,승차,2893
1,2022-03-12,계양,승차,2077
1,2022-03-13,계양,승차,1202
1,2022-03-14,계양,승차,2606
1,2022-03-15,계양,승차,2782
1,2022-03-16,계양,승차,2776
1,2022-03-17,계양,승차,2747
1,2022-03-18,계양,승차,2791
1,2022-03-19,계양,승차,1667
1,2022-03-20,계양,승차,1543
1,2022-03-21,계양,승차,2787
1,2022-03-22,계양,승차,2793
1,2022-03-23,계양,승차,2755
1,2022-03-24,계양,승차,2822
1,2022-03-25,계양,승차,2820
1,2022-03-26,계양,승차,1808
1,2022-03-27,계양,승차,1705
1,2022-03-28,계양,승차,2906
1,2022-03-29,계양,승차,2989
1,2022-03-30,계양,승차,2824
1,2022-03-31,계양,승차,2998
1,2022-04-01,계양,승차,3054
1,2022-04-02,계양,승차,2351
1,2022-04-03,계양,승차,1800
1,2022-04-04,계양,승차,3090
1,2022-04-05,계양,승차,3091
1,2022-04-06,계양,승차,3129
1,2022-04-07,계양,승차,3188
1,2022-04-08,계양,승차,3192
1,2022-04-09,계양,승차,2548
1,2022-04-10,계양,승차,2018
1,2022-04-11,계양,승차,3106
1,2022-04-12,계양,승차,3127
1,2022-04-13,계양,승차,3010
1,2022-04-14,계양,승차,3158
1,2022-04-15,계양,승차,3171
1,2022-04-16,계양,승차,2610
