[검색조건],,,
지점명 : 서울, 기간 : 20211001 ~ 20211231,,
일자,기온(°C),풍속(km/h),체감온도(°C)
2021-10-16,4.3,14.8,0.9
2021-10-17,1.4,25.6,-4.2
2021-10-18,3,10.8,0.1
2021-10-19,7.7,9.7,5.9
2021-10-20,5,9.7,2.7
2021-10-21,5.3,6.8,3.8
2021-10-22,5.4,7.6,3.7
2021-10-23,5.7,7.6,4.1
2021-10-24,6,6.8,4.6
2021-10-25,9.3,6.5,8.5
2021-10-26,7.7,8.3,6.2
2021-10-27,9.9,11.2,8.3
2021-10-28,7.3,6.5,6.2
2021-11-02,8.6,6.5,7.7
2021-11-03,7.7,6.1,6.8
2021-11-04,8.5,7.6,7.3
2021-11-05,7.9,7.6,6.6
2021-11-06,8.9,8.3,7.7
2021-11-07,9.7,7.6,8.7
2021-11-08,4.7,16.6,1.1
2021-11-09,3.6,14.4,0.1
2021-11-10,1.4,9,-1.4
2021-11-11,3.4,16.2,-0.4
2021-11-12,2.5,14,-1.2
2021-11-13,0.6,7.6,-1.9
2021-11-14,8,7.2,6.8
2021-11-15,5.9,6.8,4.5
2021-11-16,4.5,5.8,3.2
2021-11-17,2.7,8.3,0.3
2021-11-18,7.7,7.9,6.3
2021-11-20,7,9,5.3
2021-11-21,7.6,23,4
2021-11-22,-0.5,18,-5.6
2021-11-23,-3.3,10.4,-7.4
2021-11-24,-2.3,7.9,-5.4
2021-11-25,2.7,12.2,-0.6
2021-11-26,-0.3,7.2,-2.8
2021-11-27,-1.3,9,-4.6
2021-11-28,-1.3,8.6,-4.5
2021-11-29,2.7,9,0.2
2021-12-01,-2.4,22.3,-8.6
2021-12-02,-4.6,9.7,-8.7
2021-12-03,-0.8,10.8,-4.5
2021-12-04,-2.7,6.8,-5.5
2021-12-05,-2.3,8.3,-5.5
2021-12-06,-0.6,9.4,-3.9
2021-12-07,2.7,6.1,1
2021-12-08,2,8.6,-0.6
2021-12-09,2.8,10.1,0
2021-12-10,6,9.7,3.9
2021-12-11,4.4,7.2,2.7
2021-12-12,-2.9,19.1,-8.8
2021-12-13,-5.7,11.5,-10.6
2021-12-14,0,10.1,-3.3
2021-12-15,6,10.8,3.7
2021-12-16,3.4,15.5,-0.3
2021-12-17,-9,21.2,-16.8
2021-12-18,-11.1,10.4,-16.7
2021-12-19,-5.6,5.8,-8.4
2021-12-20,-0.9,7.9,-3.8
2021-12-21,0.9,11.5,-2.6
2021-12-22,-2.4,7.2,-5.3
2021-12-23,-1.3,8.6,-4.5
2021-12-24,-7.2,22.3,-14.7
2021-12-25,-14.3,13.3,-21.5
2021-12-26,-15.2,15.1,-23.2
2021-12-27,-12.4,10.1,-18.2
2021-12-28,-8.2,11.2,-13.5
2021-12-29,-3.5,7.9,-6.8
2021-12-30,-5.4,17.6,-11.6
